timestamp,home_team,live_odds_o15,live_odds_o25
2026-04-17 19:19:00,drogheda-united,3.25,9.4
2026-04-17 19:19:00,dundalk-fc,1.27,1.81
2026-04-17 19:19:00,shelbourne,1.46,2.42
2026-04-17 19:19:00,shamrock-rovers,3.8,12.0
